A,B,Pulse Count,Change Count,Speed,Direction
0,0,1,0,0,forward
0,0,2,0,0,forward
0,0,3,0,0,forward
0,0,4,0,0,forward
0,0,5,0,0,forward
0,0,1,419,0.1,forward
0,0,2,519,0.1,forward
0,1,3,449,0.1,forward
0,0,4,622,0.1,forward
0,0,5,548,0.1,forward
0,0,1,1962,0.2,forward
0,0,2,2030,0.2,forward
1,0,3,1455,0.2,forward
0,0,4,1103,0.2,forward
0,0,5,1384,0.2,forward
1,0,1,2484,0.30000000000000004,forward
0,0,2,2544,0.30000000000000004,forward
0,1,3,2442,0.30000000000000004,forward
0,0,4,2451,0.30000000000000004,forward
0,0,5,2584,0.30000000000000004,forward
0,0,1,2810,0.4,forward
1,0,2,3015,0.4,forward
0,1,3,3013,0.4,forward
0,1,4,3035,0.4,forward
0,1,5,2906,0.4,forward
0,0,1,2724,0.5,forward
1,0,2,2896,0.5,forward
0,0,3,2930,0.5,forward
0,1,4,3061,0.5,forward
0,1,5,3181,0.5,forward
0,0,1,2771,0.6,forward
0,0,2,2961,0.6,forward
0,0,3,3261,0.6,forward
0,0,4,2786,0.6,forward
1,0,5,2831,0.6,forward
0,0,1,2706,0.7,forward
0,0,2,2802,0.7,forward
0,0,3,2254,0.7,forward
0,1,4,2552,0.7,forward
0,1,5,2648,0.7,forward
0,0,1,2849,0.7999999999999999,forward
1,0,2,2775,0.7999999999999999,forward
0,0,3,2979,0.7999999999999999,forward
0,1,4,2943,0.7999999999999999,forward
1,0,5,2480,0.7999999999999999,forward
0,0,1,2492,0.8999999999999999,forward
1,0,2,2288,0.8999999999999999,forward
0,0,3,2647,0.8999999999999999,forward
0,1,4,1804,0.8999999999999999,forward
0,0,5,2266,0.8999999999999999,forward
0,1,1,1900,0.9999999999999999,forward
0,1,2,1985,0.9999999999999999,forward
0,0,3,1503,0.9999999999999999,forward
0,0,4,2181,0.9999999999999999,forward
1,0,5,2037,0.9999999999999999,forward
0,1,1,2371,0.1,backward
0,0,2,1767,0.1,backward
0,0,3,2120,0.1,backward
0,0,4,2359,0.1,backward
0,1,5,2252,0.1,backward
0,0,1,2077,0.2,backward
0,0,2,1375,0.2,backward
0,0,3,1216,0.2,backward
0,0,4,1655,0.2,backward
1,0,5,2425,0.2,backward
0,0,1,2628,0.30000000000000004,backward
1,0,2,2489,0.30000000000000004,backward
0,0,3,3024,0.30000000000000004,backward
0,0,4,3013,0.30000000000000004,backward
1,0,5,2724,0.30000000000000004,backward
1,0,1,3067,0.4,backward
0,1,2,3250,0.4,backward
0,0,3,2722,0.4,backward
0,0,4,3042,0.4,backward
0,0,5,3013,0.4,backward
1,0,1,3609,0.5,backward
0,0,2,3570,0.5,backward
0,0,3,3327,0.5,backward
0,0,4,3229,0.5,backward
0,1,5,3307,0.5,backward
0,0,1,2906,0.6,backward
0,0,2,2655,0.6,backward
0,0,3,3108,0.6,backward
1,0,4,2850,0.6,backward
0,0,5,2873,0.6,backward
0,0,1,2562,0.7,backward
0,0,2,2481,0.7,backward
0,0,3,2554,0.7,backward
1,0,4,2563,0.7,backward
1,0,5,2075,0.7,backward
1,0,1,1628,0.7999999999999999,backward
1,0,2,2067,0.7999999999999999,backward
1,0,3,1763,0.7999999999999999,backward
0,0,4,1935,0.7999999999999999,backward
0,0,5,1273,0.7999999999999999,backward
1,0,1,1500,0.8999999999999999,backward
0,0,2,1828,0.8999999999999999,backward
0,0,3,1968,0.8999999999999999,backward
1,0,4,1301,0.8999999999999999,backward
0,0,5,1654,0.8999999999999999,backward
0,1,1,1342,0.9999999999999999,backward
0,0,2,1442,0.9999999999999999,backward
0,1,3,1277,0.9999999999999999,backward
0,0,4,1625,0.9999999999999999,backward
0,0,5,1478,0.9999999999999999,backward
1,0,1,567,0.1,forward
1,0,2,192,0.1,forward
0,1,3,465,0.1,forward
0,0,4,846,0.1,forward
1,0,5,326,0.1,forward
0,0,1,1925,0.2,forward
0,0,2,2339,0.2,forward
0,0,3,1424,0.2,forward
0,0,4,1257,0.2,forward
0,0,5,1479,0.2,forward
0,0,1,3155,0.30000000000000004,forward
0,1,2,2540,0.30000000000000004,forward
0,0,3,2519,0.30000000000000004,forward
0,0,4,2998,0.30000000000000004,forward
0,1,5,2574,0.30000000000000004,forward
0,1,1,2452,0.4,forward
0,0,2,2613,0.4,forward
0,1,3,2626,0.4,forward
0,0,4,2763,0.4,forward
1,0,5,2668,0.4,forward
0,0,1,2302,0.5,forward
1,0,2,2491,0.5,forward
